"GeneEnsembl","logFC","logCPM","LR","PValue","regulation","absLogFc","geneId","FDR"
"ENSG00000187098",1.03483410679055,6.71552311529367,35.788654357396,2.19924903089706e-09,"ns",1.03483410679055,"MITF","4.83e-08"
"ENSG00000178028",-1.93773449554423,3.86248987596618,35.7816727837958,2.2071442207939e-09,"down",1.93773449554423,"DMAP1","4.84e-08"
"ENSG00000161405",-2.34422772645969,3.05538197944337,35.5903199814738,2.43494522297578e-09,"down",2.34422772645969,"IKZF3","5.30e-08"
"ENSG00000135185",-2.30413838430179,3.05522016414799,35.5392291202154,2.49965398504265e-09,"down",2.30413838430179,"TMEM243","5.42e-08"
"ENSG00000183508",1.24544448220736,3.23605587880528,35.4780681889131,2.57938548119214e-09,"ns",1.24544448220736,"TENT5C","5.57e-08"
"ENSG00000168615",1.3738449767332,7.53187380855907,35.4587361723067,2.60511327395048e-09,"ns",1.3738449767332,"ADAM9","5.62e-08"
"ENSG00000182004",-1.53976871767867,3.94138761718871,35.4488772798561,2.61833264863254e-09,"down",1.53976871767867,"SNRPE","5.64e-08"
"ENSG00000104408",-1.10825882777536,7.69129324685868,35.435052749754,2.63698259325638e-09,"ns",1.10825882777536,"EIF3E","5.67e-08"
"ENSG00000139343",-1.52433645702326,4.62262086552604,35.4191315707939,2.65862589094738e-09,"down",1.52433645702326,"SNRPF","5.71e-08"
"ENSG00000095015",-2.37466312596792,3.50913630912759,35.3986767211198,2.68669355557994e-09,"down",2.37466312596792,"MAP3K1","5.76e-08"
"ENSG00000134153",-2.04745904805799,4.07893463772741,35.3687043954004,2.72835770012615e-09,"down",2.04745904805799,"EMC7","5.83e-08"
"ENSG00000026297",-1.44752674343395,3.55530465579043,35.3025024978947,2.82269130867712e-09,"ns",1.44752674343395,"RNASET2","6.02e-08"
"ENSG00000105677",-2.41494606960624,3.20376211044878,35.1727032221047,3.01723253231401e-09,"down",2.41494606960624,"TMEM147","6.41e-08"
"ENSG00000078269",1.53574856790314,4.14506105299978,34.986756116142,3.31955509897648e-09,"up",1.53574856790314,"SYNJ2","7.02e-08"
"ENSG00000008517",-1.44441285868903,6.26472733785212,34.8152147721839,3.62529238297426e-09,"ns",1.44441285868903,"IL32","7.61e-08"
"ENSG00000175224",1.11891297985956,5.80854010244983,34.6862285228311,3.87362171579324e-09,"ns",1.11891297985956,"ATG13","8.07e-08"
"ENSG00000117289",-1.06982311721954,8.31752018135009,34.5743476744348,4.10277510667168e-09,"ns",1.06982311721954,"NA","8.50e-08"
"ENSG00000130303",-1.69710443467481,4.54720547265813,34.5501147413023,4.15417057564429e-09,"down",1.69710443467481,"BST2","8.59e-08"
"ENSG00000101425",3.83333901603035,3.23558763499553,34.4793241640394,4.308032544542e-09,"up",3.83333901603035,"BPI","8.84e-08"
"ENSG00000150316",-1.14786997243689,5.63396946492147,34.4279849674034,4.42317569364653e-09,"ns",1.14786997243689,"CWC15","9.05e-08"
"ENSG00000140391",-2.58028729820305,3.43144633799583,34.3925027431829,4.50455117189554e-09,"down",2.58028729820305,"TSPAN3","9.20e-08"
"ENSG00000130254",-1.24017325091665,5.20202171798224,34.3854157001361,4.5209834678144e-09,"ns",1.24017325091665,"SAFB2","9.23e-08"
"ENSG00000095564",-2.64700941301514,4.26283435703407,34.3710384132764,4.5545038609666e-09,"down",2.64700941301514,"BTAF1","9.28e-08"
"ENSG00000134668",1.20015281566778,7.41857074750053,34.3579740731276,4.5851789331029e-09,"ns",1.20015281566778,"SPOCD1","9.33e-08"
